상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0106202404A0009130,한국맥도날드동탄SK점,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,41,경기도,41597,화성시 동탄구,41597530,동탄3동,4159710100,능동,4159710100110510001,1,대지,1051.0,1.0,경기도 화성시 동탄구 능동 1051-1,415973012007,경기도 화성시 동탄구 효행로,1260.0,,4159011800110510001000001,,경기도 화성시 동탄구 효행로 1260,,18423,,,,127.060245664468,37.2211065661923
MA0106202401A0008679,한국맥도날드화성향남DT점,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,41,경기도,41591,화성시 만세구,41591253,향남읍,4159125340,향남읍,4159125340102970075,1,대지,297.0,75.0,경기도 화성시 만세구 향남읍 방축리 297-75,415913210114,경기도 화성시 만세구 향남읍 행정남로,120.0,,4159025940102970075009500,,경기도 화성시 만세구 향남읍 행정남로 120,445945.0,18608,,,,126.91873475691,37.1218156553812
MA0106202601A0711847,롯데리아 병점역점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,41,경기도,41595,화성시 병점구,41595520,병점1동,4159510200,병점동,4159510200108870002,1,대지,887.0,2.0,경기도 화성시 병점구 병점동 887-2,415953352954,경기도 화성시 병점구 병점노을5로,20.0,,4159011700108870002000001,,경기도 화성시 병점구 병점노을5로 20,445360.0,18371,,,,127.030629371577,37.2059712799442
MA0106202404A0011101,비케이알버거킹동탄역CGVS점,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41597,화성시 동탄구,41597560,동탄6동,4159710400,오산동,4159710400110190000,1,대지,1019.0,,경기도 화성시 동탄구 오산동 1019,415972348100,경기도 화성시 동탄구 동탄대로,537.0,,4159012900109670150000001,,경기도 화성시 동탄구 동탄대로 537,445150.0,18478,,,,127.097932531927,37.2022224289921
MA010120220810269257,롯데리아장승포점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48310,거제시,48310530,능포동,4831010100,능포동,4831010100106810006,1,대지,681.0,6.0,경상남도 거제시 능포동 681-6,483103337014,경상남도 거제시 능포로,132.0,1.0,4831010100106810006038635,,경상남도 거제시 능포로 132-1,656900.0,53315,,2,,128.731707869323,34.8754611491
MA010120220813138994,버거킹수월점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48310,거제시,48310600,수양동,4831011300,양정동,4831011300109620001,1,대지,962.0,1.0,경상남도 거제시 양정동 962-1,483103337066,경상남도 거제시 수양로,471.0,,4831011300109620001000002,희빌딩,경상남도 거제시 수양로 471,656806.0,53236,,,,128.639542924901,34.8916643103577
MA010120220804731553,롯데리아거제,옥포점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48310,거제시,48310550,옥포1동,4831010600,옥포동,4831010600105470015,1,대지,547.0,15.0,경상남도 거제시 옥포동 547-15,483103337031,경상남도 거제시 옥포로,177.0,,4831010600105470015043657,,경상남도 거제시 옥포로 177,656904.0,53228,,1,,128.691466435256,34.8905651802142
MA010120220811261771,롯데리아,진영점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48250,김해시,48250250,진영읍,4825025027,진영읍,4825025027107000162,1,대지,700.0,162.0,경상남도 김해시 진영읍 여래리 700-162,482503335041,경상남도 김해시 진영읍 여래로,18.0,,4825025027107000162086419,,경상남도 김해시 진영읍 여래로 18,621806.0,50865,,,,128.734529091425,35.3046221437263
MA010120220811209388,제이엔디롯데리아경남의령점주,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48720,의령군,48720250,의령읍,4872025023,의령읍,4872025023115560000,1,대지,1556.0,,경상남도 의령군 의령읍 동동리 1556,487203351519,경상남도 의령군 의령읍 행복로,7.0,,4872025023115560000000001,신우희가로아파트,경상남도 의령군 의령읍 행복로 7,636803.0,52142,,,,128.268805204867,35.3209331986672
MA010120220805831932,버거킹경남거창점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48880,거창군,48880250,거창읍,4888025021,거창읍,4888025021107970002,1,대지,797.0,2.0,경상남도 거창군 거창읍 상림리 797-2,488803347003,경상남도 거창군 거창읍 거열로,106.0,,4888025021107970002020912,,경상남도 거창군 거창읍 거열로 106,670807.0,50132,,1,,127.905475526457,35.6884670080391
